2025-05-11 19:01:06,215 - __main__ - INFO - Starting newsletter automation process
2025-05-11 19:01:06,215 - __main__ - INFO - Processing newsletter for date: 2025-05-10
2025-05-11 19:01:06,215 - __main__ - INFO - Running newsletter generation...
2025-05-11 19:02:37,260 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  92%|█████████▏| 76/83 [01:29<00:08,  1.15s/article]
2025-05-11 19:02:38,460 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  93%|█████████▎| 77/83 [01:30<00:06,  1.15s/article]
2025-05-11 19:02:39,607 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  94%|█████████▍| 78/83 [01:31<00:05,  1.16s/article]
2025-05-11 19:02:40,882 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  95%|█████████▌| 79/83 [01:32<00:04,  1.16s/article]
2025-05-11 19:02:42,031 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  96%|█████████▋| 80/83 [01:34<00:03,  1.19s/article]
2025-05-11 19:02:43,191 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  98%|█████████▊| 81/83 [01:35<00:02,  1.18s/article]
2025-05-11 19:02:44,358 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  99%|█████████▉| 82/83 [01:36<00:01,  1.17s/article]
2025-05-11 19:02:44,359 - __main__ - INFO - [newsletter generation] Found 83 articles from visir for 2025-05-10
2025-05-11 19:02:44,359 - __main__ - INFO - [newsletter generation] Progress: Processing articles: 100%|██████████| 83/83 [01:37<00:00,  1.17s/article]
2025-05-11 19:02:44,359 - __main__ - INFO - [newsletter generation] 
2025-05-11 19:02:44,360 - __main__ - INFO - [newsletter generation] Progress: Processing articles: 100%|██████████| 83/83 [01:37<00:00,  1.18s/article]
2025-05-11 19:02:44,360 - __main__ - ERROR - [newsletter generation] 2025-05-11 19:02:44,358 - INFO - Processed 83 articles from visir
2025-05-11 19:02:48,470 - __main__ - INFO - [newsletter generation] Total articles processed: 83
2025-05-11 19:02:48,470 - __main__ - INFO - [newsletter generation] 
2025-05-11 19:02:48,470 - __main__ - ERROR - [newsletter generation] 2025-05-11 19:02:44,360 - INFO - Processing articles from mbl...
2025-05-11 19:02:48,470 - __main__ - ERROR - [newsletter generation] 
2025-05-11 19:02:49,587 - __main__ - ERROR - [newsletter generation] Processing articles:   0%|          | 0/91 [00:00<?, ?article/s]
2025-05-11 19:02:50,707 - __main__ - ERROR - [newsletter generation] Processing articles:   1%|          | 1/91 [00:01<01:40,  1.12s/article]
2025-05-11 19:02:51,809 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   2%|▏         | 2/91 [00:02<01:39,  1.12s/article]
2025-05-11 19:02:52,905 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   3%|▎         | 3/91 [00:03<01:37,  1.11s/article]
2025-05-11 19:02:54,016 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   4%|▍         | 4/91 [00:04<01:36,  1.10s/article]
2025-05-11 19:02:56,748 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   5%|▌         | 5/91 [00:05<01:35,  1.11s/article]
